"regime","host","rep","inv","n"
"Stable","T","SW_1","AS",230
"Stable","T","SW_1","AS",192
"Stable","T","SW_1","AS",288
"Stable","T","SW_1","AS",240
"Stable","T","SW_1","AS",183
"Stable","H","SW_1","AS",42
"Stable","H","SW_1","AS",57
"Stable","H","SW_1","AS",21
"Stable","H","SW_1","AS",31
"Stable","H","SW_1","AS",48
"Stable","S","SW_1","AS",32
"Stable","S","SW_1","AS",24
"Stable","S","SW_1","AS",42
"Stable","S","SW_1","AS",21
"Stable","S","SW_1","AS",18
"Stable","T","SW_2","AS",184
"Stable","T","SW_2","AM",147
"Stable","T","SW_2","KZ",169
"Stable","T","SW_2","AS",210
"Stable","T","SW_2","MM",158
"Stable","H","SW_2","MM",71
"Stable","H","SW_2","AS",20
"Stable","H","SW_2","AM",12
"Stable","H","SW_2","MM",63
"Stable","H","SW_2","KZ",20
"Stable","S","SW_2","AM",36
"Stable","S","SW_2","KZ",16
"Stable","S","SW_2","AS",13
"Stable","S","SW_2","AM",14
"Stable","S","SW_2","KZ",32
"Stable","T","SW_3","AS",218
"Stable","T","SW_3","MM",109
"Stable","T","SW_3","AM",131
"Stable","T","SW_3","KZ",187
"Stable","T","SW_3","RG",171
"Stable","H","SW_3","AS",36
"Stable","H","SW_3","MM",54
"Stable","H","SW_3","KZ",33
"Stable","H","SW_3","AM",30
"Stable","H","SW_3","RG",31
"Stable","S","SW_3","KZ",24
"Stable","S","SW_3","AS",37
"Stable","S","SW_3","MM",23
"Stable","S","SW_3","AM",18
"Stable","S","SW_3","RG",11
"Stable","T","SW_4","AS",189
"Stable","T","SW_4","AS",149
"Stable","T","SW_4","AS",172
"Stable","T","SW_4","AS",121
"Stable","T","SW_4","AS",155
"Stable","H","SW_4","AS",27
"Stable","H","SW_4","AS",31
"Stable","H","SW_4","AS",36
"Stable","H","SW_4","AS",41
"Stable","H","SW_4","AS",51
"Stable","S","SW_4","AS",8
"Stable","S","SW_4","AS",18
"Stable","S","SW_4","AS",19
"Stable","S","SW_4","AS",35
"Stable","S","SW_4","AS",27
"Stable","T","SW_5","AS",109
"Stable","T","SW_5","RG",203
"Stable","T","SW_5","MM",106
"Stable","T","SW_5","KZ",192
"Stable","T","SW_5","AS",152
"Stable","H","SW_5","KZ",43
"Stable","H","SW_5","AS",62
"Stable","H","SW_5","AS",29
"Stable","H","SW_5","MM",22
"Stable","H","SW_5","KZ",17
"Stable","S","SW_5","RG",11
"Stable","S","SW_5","AS",7
"Stable","S","SW_5","KZ",18
"Stable","S","SW_5","AS",32
"Stable","S","SW_5","MM",28
"Stable","T","SW_6","KZ",327
"Stable","T","SW_6","MM",191
"Stable","T","SW_6","AM",245
"Stable","T","SW_6","RG",319
"Stable","T","SW_6","AS",218
"Stable","H","SW_6","MM",48
"Stable","H","SW_6","AS",72
"Stable","H","SW_6","KZ",71
"Stable","H","SW_6","AM",31
"Stable","H","SW_6","RG",40
"Stable","S","SW_6","MM",37
"Stable","S","SW_6","RG",17
"Stable","S","SW_6","AM",41
"Stable","S","SW_6","AS",18
"Stable","S","SW_6","KZ",17
"Stable","T","SW_7","MM",131
"Stable","T","SW_7","KZ",163
"Stable","T","SW_7","AM",148
"Stable","T","SW_7","AS",196
"Stable","T","SW_7","RG",232
"Stable","H","SW_7","KZ",28
"Stable","H","SW_7","MM",15
"Stable","H","SW_7","RG",22
"Stable","H","SW_7","AS",18
"Stable","H","SW_7","AM",23
"Stable","S","SW_7","AS",9
"Stable","S","SW_7","RG",19
"Stable","S","SW_7","MM",28
"Stable","S","SW_7","AM",30
"Stable","S","SW_7","KZ",16
"Stable","T","SW_8","AS",165
"Stable","T","SW_8","AS",98
"Stable","T","SW_8","AS",108
"Stable","T","SW_8","AS",128
"Stable","T","SW_8","AS",130
"Stable","H","SW_8","AS",22
"Stable","H","SW_8","AS",33
"Stable","H","SW_8","AS",19
"Stable","H","SW_8","AS",10
"Stable","H","SW_8","AS",25
"Stable","S","SW_8","AS",22
"Stable","S","SW_8","AS",26
"Stable","S","SW_8","AS",6
"Stable","S","SW_8","AS",16
"Stable","S","SW_8","AS",39
"Stable","T","SW_9","AS",166
"Stable","T","SW_9","AM",129
"Stable","T","SW_9","MM",157
"Stable","T","SW_9","AM",117
"Stable","T","SW_9","MM",132
"Stable","H","SW_9","AM",51
"Stable","H","SW_9","AS",49
"Stable","H","SW_9","AS",40
"Stable","H","SW_9","AM",19
"Stable","H","SW_9","MM",39
"Stable","S","SW_9","MM",22
"Stable","S","SW_9","AM",27
"Stable","S","SW_9","AS",34
"Stable","S","SW_9","MM",41
"Stable","S","SW_9","AS",25
"Stable","T","SW_10","MM",147
"Stable","T","SW_10","AM",152
"Stable","T","SW_10","AS",229
"Stable","T","SW_10","MM",141
"Stable","T","SW_10","AS",183
"Stable","H","SW_10","AM",17
"Stable","H","SW_10","MM",42
"Stable","H","SW_10","AS",38
"Stable","H","SW_10","AM",23
"Stable","H","SW_10","MM",68
"Stable","S","SW_10","AS",34
