"regime","rep","inv","temp","n"
"Stable","SW_1","AS",16,26
"Stable","SW_1","AM",16,24
"Stable","SW_1","AS",16,23
"Stable","SW_1","AM",16,14
"Stable","SW_1","AS",16,22
"Stable","SW_1","AS",20,56
"Stable","SW_1","AS",20,81
"Stable","SW_1","AM",20,36
"Stable","SW_1","AS",20,65
"Stable","SW_1","AS",20,62
"Stable","SW_1","AS",28,603
"Stable","SW_1","AM",28,445
"Stable","SW_1","AS",28,385
"Stable","SW_1","AM",28,428
"Stable","SW_1","AS",28,399
"Stable","SW_1","AS",36,43
"Stable","SW_1","AS",36,19
"Stable","SW_1","AS",36,41
"Stable","SW_1","AM",36,40
"Stable","SW_1","AS",36,32
"Stable","SW_2","AM",16,22
"Stable","SW_2","AS",16,30
"Stable","SW_2","KK",16,14
"Stable","SW_2","AS",16,27
"Stable","SW_2","AS",16,34
"Stable","SW_2","AS",20,57
"Stable","SW_2","AM",20,56
"Stable","SW_2","AS",20,81
"Stable","SW_2","AS",20,68
"Stable","SW_2","AS",20,64
"Stable","SW_2","AM",28,246
"Stable","SW_2","AS",28,440
"Stable","SW_2","AS",28,362
"Stable","SW_2","AS",28,480
"Stable","SW_2","KK",28,255
"Stable","SW_2","AS",36,43
"Stable","SW_2","AM",36,13
"Stable","SW_2","AS",36,31
"Stable","SW_2","AS",36,12
"Stable","SW_2","AS",36,52
"Stable","SW_3","AS",16,34
"Stable","SW_3","AM",16,46
"Stable","SW_3","KK",16,19
"Stable","SW_3","AS",16,26
"Stable","SW_3","AS",16,31
"Stable","SW_3","AS",20,59
"Stable","SW_3","AS",20,37
"Stable","SW_3","AM",20,35
"Stable","SW_3","AS",20,65
"Stable","SW_3","AS",20,57
"Stable","SW_3","AS",28,306
"Stable","SW_3","AM",28,461
"Stable","SW_3","KK",28,222
"Stable","SW_3","AS",28,384
"Stable","SW_3","AM",28,417
"Stable","SW_3","AS",36,33
"Stable","SW_3","AS",36,34
"Stable","SW_3","AS",36,49
"Stable","SW_3","AS",36,35
"Stable","SW_3","AS",36,13
"Stable","SW_4","AS",16,29
"Stable","SW_4","AS",16,23
"Stable","SW_4","AM",16,14
"Stable","SW_4","KK",16,28
"Stable","SW_4","AS",16,24
"Stable","SW_4","AS",20,65
"Stable","SW_4","AS",20,72
"Stable","SW_4","AS",20,71
"Stable","SW_4","AS",20,59
"Stable","SW_4","AS",20,44
"Stable","SW_4","AM",28,444
"Stable","SW_4","KK",28,204
"Stable","SW_4","AS",28,425
"Stable","SW_4","AM",28,263
"Stable","SW_4","AS",28,492
"Stable","SW_4","AS",36,37
"Stable","SW_4","AM",36,23
"Stable","SW_4","AS",36,42
"Stable","SW_4","AS",36,29
"Stable","SW_4","AS",36,45
"Stable","SW_5","AM",16,21
"Stable","SW_5","KK",16,26
"Stable","SW_5","AS",16,32
"Stable","SW_5","AM",16,25
"Stable","SW_5","AS",16,41
"Stable","SW_5","AS",20,58
"Stable","SW_5","KK",20,40
"Stable","SW_5","AM",20,53
"Stable","SW_5","AS",20,42
"Stable","SW_5","AS",20,76
"Stable","SW_5","KK",28,294
"Stable","SW_5","AS",28,524
"Stable","SW_5","AM",28,344
"Stable","SW_5","AS",28,218
"Stable","SW_5","AS",28,515
"Stable","SW_5","AM",36,14
"Stable","SW_5","AS",36,25
"Stable","SW_5","AM",36,16
"Stable","SW_5","AS",36,24
"Stable","SW_5","AS",36,23
"Stable","SW_6","AM",16,26
"Stable","SW_6","AS",16,59
"Stable","SW_6","KK",16,33
"Stable","SW_6","AS",16,36
"Stable","SW_6","AS",16,29
"Stable","SW_6","AS",20,52
"Stable","SW_6","AM",20,42
"Stable","SW_6","AS",20,56
"Stable","SW_6","AS",20,46
"Stable","SW_6","AS",20,59
"Stable","SW_6","AM",28,796
"Stable","SW_6","AS",28,536
"Stable","SW_6","KK",28,420
"Stable","SW_6","AS",28,511
"Stable","SW_6","AS",28,412
"Stable","SW_6","AM",36,22
"Stable","SW_6","AS",36,19
"Stable","SW_6","AS",36,40
"Stable","SW_6","AS",36,12
"Stable","SW_6","AS",36,19
"Stable","SW_7","AS",16,15
"Stable","SW_7","AM",16,25
"Stable","SW_7","KK",16,26
"Stable","SW_7","AS",16,25
"Stable","SW_7","AM",16,28
"Stable","SW_7","AS",20,46
"Stable","SW_7","AM",20,59
"Stable","SW_7","KK",20,46
"Stable","SW_7","AS",20,44
"Stable","SW_7","AS",20,69
"Stable","SW_7","AS",28,512
"Stable","SW_7","AS",28,598
"Stable","SW_7","KK",28,318
"Stable","SW_7","AS",28,568
"Stable","SW_7","AM",28,274
"Stable","SW_7","AM",36,25
"Stable","SW_7","AS",36,16
"Stable","SW_7","KK",36,12
"Stable","SW_7","AS",36,35
"Stable","SW_7","AM",36,38
"Stable","SW_8","AM",16,30
"Stable","SW_8","AS",16,48
"Stable","SW_8","KK",16,27
"Stable","SW_8","AS",16,41
"Stable","SW_8","AS",16,29
"Stable","SW_8","AS",20,72
"Stable","SW_8","AM",20,49
"Stable","SW_8","AM",20,55
"Stable","SW_8","AS",20,68
"Stable","SW_8","AS",20,75
"Stable","SW_8","AM",28,283
"Stable","SW_8","AS",28,427
"Stable","SW_8","AM",28,233
"Stable","SW_8","AS",28,375
"Stable","SW_8","AS",28,526
"Stable","SW_8","AS",36,41
"Stable","SW_8","AS",36,39
"Stable","SW_8","AS",36,27
"Stable","SW_8","KK",36,21
"Stable","SW_8","AS",36,23
"Stable","SW_9","AM",16,37
"Stable","SW_9","AS",16,38
"Stable","SW_9","KK",16,24
"Stable","SW_9","AS",16,39
"Stable","SW_9","AS",16,34
"Stable","SW_9","AS",20,48
"Stable","SW_9","AM",20,43
"Stable","SW_9","AS",20,51
"Stable","SW_9","AS",20,71
"Stable","SW_9","AS",20,63
"Stable","SW_9","AM",28,353
"Stable","SW_9","AS",28,414
"Stable","SW_9","KK",28,321
"Stable","SW_9","AS",28,220
"Stable","SW_9","AS",28,303
"Stable","SW_9","AS",36,45
"Stable","SW_9","AS",36,37
"Stable","SW_9","AS",36,31
"Stable","SW_9","AM",36,23
"Stable","SW_9","AS",36,20
"Stable","SW_10","AM",16,23
"Stable","SW_10","AS",16,21
"Stable","SW_10","AM",16,34
"Stable","SW_10","AS",16,19
"Stable","SW_10","AS",16,14
"Stable","SW_10","AS",20,53
"Stable","SW_10","AS",20,42
"Stable","SW_10","KK",20,45
"Stable","SW_10","AS",20,41
"Stable","SW_10","AM",20,65
"Stable","SW_10","AM",28,322
"Stable","SW_10","AS",28,455
"Stable","SW_10","KK",28,222
"Stable","SW_10","AS",28,327
"Stable","SW_10","AS",28,334
"Stable","SW_10","AM",36,37
"Stable","SW_10","AS",36,17
"Stable","SW_10","AS",36,15
"Stable","SW_10","KK",36,32
"Stable","SW_10","AM",36,23
"Alternating","G_2","AS",16,22
"Alternating","G_2","KK",16,8
"Alternating","G_2","AS",16,26
"Alternating","G_2","KK",16,7
"Alternating","G_2","AS",16,19
"Alternating","G_2","AM",20,40
"Alternating","G_2","KK",20,32
"Alternating","G_2","AS",20,61
"Alternating","G_2","AS",20,48
"Alternating","G_2","AM",20,59
"Alternating","G_2","KK",28,206
"Alternating","G_2","AS",28,529
"Alternating","G_2","KK",28,181
"Alternating","G_2","AS",28,418
"Alternating","G_2","KK",28,256
"Alternating","G_2","AS",36,4
"Alternating","G_2","KK",36,2
"Alternating","G_2","AM",36,1
"Alternating","G_2","AS",36,6
"Alternating","G_2","AS",36,6
"Alternating","G_3","AS",16,17
"Alternating","G_3","AM",16,9
"Alternating","G_3","AS",16,2
"Alternating","G_3","AM",16,18
"Alternating","G_3","AS",16,4
"Alternating","G_3","AS",20,21
"Alternating","G_3","KK",20,17
"Alternating","G_3","AS",20,31
"Alternating","G_3","AM",20,20
"Alternating","G_3","AM",20,45
"Alternating","G_3","AS",28,122
"Alternating","G_3","AM",28,161
"Alternating","G_3","AS",28,300
"Alternating","G_3","AM",28,261
"Alternating","G_3","AS",28,287
"Alternating","G_3","AS",36,5
"Alternating","G_3","KK",36,3
"Alternating","G_3","AM",36,6
"Alternating","G_3","KK",36,4
"Alternating","G_3","AS",36,2
"Alternating","G_4","AS",16,29
"Alternating","G_4","KK",16,17
"Alternating","G_4","AS",16,14
"Alternating","G_4","AS",16,25
"Alternating","G_4","AS",16,21
"Alternating","G_4","KK",20,43
"Alternating","G_4","AS",20,47
"Alternating","G_4","AM",20,59
"Alternating","G_4","AS",20,39
"Alternating","G_4","AS",20,60
"Alternating","G_4","AS",28,283
"Alternating","G_4","AS",28,359
"Alternating","G_4","AS",28,202
"Alternating","G_4","KK",28,173
"Alternating","G_4","AS",28,180
"Alternating","G_4","AS",36,8
"Alternating","G_4","KK",36,4
"Alternating","G_4","AM",36,6
"Alternating","G_4","AS",36,3
"Alternating","G_4","AS",36,1
"Alternating","G_5","AS",16,11
"Alternating","G_5","AM",16,29
"Alternating","G_5","AS",16,23
"Alternating","G_5","AM",16,10
"Alternating","G_5","AS",16,13
"Alternating","G_5","AS",20,45
"Alternating","G_5","AS",20,63
"Alternating","G_5","KK",20,36
"Alternating","G_5","AM",20,20
"Alternating","G_5","AS",20,51
"Alternating","G_5","AS",28,364
